Apr-10,Apr-11,Apr-12,Apr-13,Apr-14,Apr-15,Apr-16,Apr-17,Apr-18,Apr-19,Apr-20,Apr-21,Aug-10,Aug-11,Aug-12,Aug-13,Aug-14,Aug-15,Aug-16,Aug-17,Aug-18,Aug-19,Aug-20,Aug-21,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18,Dec-19,Dec-20,Feb-10,Feb-11,Feb-12,Feb-13,Feb-14,Feb-15,Feb-16,Feb-17,Feb-18,Feb-19,Feb-20,Feb-21,Jan-10,Jan-11,Jan-12,Jan-13,Jan-14,Jan-15,Jan-16,Jan-17,Jan-18,Jan-19,Jan-20,Jan-21,Jul-10,Jul-11,Jul-12,Jul-13,Jul-15,Jul-16,Jul-17,Jul-18,Jul-19,Jul-20,Jul-21,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Jun-16,Jun-17,Jun-18,Jun-19,Jun-20,Jun-21,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,May-10,May-11,May-12,May-13,May-14,May-15,May-16,May-17,May-18,May-19,May-20,May-21,Nov-10,Nov-11,Nov-12,Nov-13,Nov-14,Nov-15,Nov-16,Nov-17,Nov-18,Nov-19,Nov-20,Nov-21,Oct-10,Oct-11,Oct-12,Oct-13,Oct-14,Oct-15,Oct-16,Oct-17,Oct-18,Oct-19,Oct-20,Oct-21,Sep-11,Sep-12,Sep-13,Sep-14,Sep-15,Sep-16,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21
JPASSOCIAT,IDFC,ICICIBANK,ICICIBANK,ICICIBANK,SUNPHARMA,HINDALCO,HINDUNILVR,ITC,ICICIBANK,ICICIBANK,ICICIBANK,JPASSOCIAT,ITC,ICICIBANK,ICICIBANK,ICICIBANK,ICICIBANK,HINDALCO,HDFC,ITC,ICICIBANK,HDFC,ICICIBANK,JPASSOCIAT,INFY,ICICIBANK,ICICIBANK,ICICIBANK,HDFC,HINDALCO,HDFC,ITC,ICICIBANK,HDFC,ITC,JPASSOCIAT,INFY,ICICIBANK,ICICIBANK,ICICIBANK,HDFC,HINDALCO,HDFC,ITC,ICICIBANK,HDFC,ITC,JPASSOCIAT,INFY,ICICIBANK,ICICIBANK,ICICIBANK,HDFC,HDFC,HDFC,ITC,ICICIBANK,HDFC,JPASSOCIAT,ITC,ICICIBANK,ICICIBANK,ICICIBANK,HINDALCO,HDFC,ICICIBANK,ICICIBANK,HDFC,ICICIBANK,JPASSOCIAT,ITC,ICICIBANK,ICICIBANK,ICICIBANK,ICICIBANK,HINDALCO,HDFC,ITC,ICICIBANK,ICICIBANK,ICICIBANK,ITC,IDFC,INFY,ITC,ICICIBANK,IDEA,HDFC,HINDUNILVR,HDFC,ITC,ICICIBANK,ICICIBANK,JPASSOCIAT,ITC,ICICIBANK,ITC,ICICIBANK,ICICIBANK,HINDALCO,HDFC,HDFC,ICICIBANK,ICICIBANK,ICICIBANK,JPASSOCIAT,INFY,ITC,ICICIBANK,ICICIBANK,HDFC,HINDALCO,HDFC,ITC,ICICIBANK,HDFC,ICICIBANK,JPASSOCIAT,INFY,ICICIBANK,ICICIBANK,ICICIBANK,HDFC,HINDALCO,HDFC,ITC,ICICIBANK,HDFC,ICICIBANK,ITC,ICICIBANK,ICICIBANK,ICICIBANK,HINDUNILVR,HINDALCO,HDFC,ITC,ICICIBANK,HDFC,ICICIBANK
JINDALSTEL,JPASSOCIAT,IDFC,IDFC,IDFC,TATAMOTORS,HINDUNILVR,HDFC,ICICIBANK,ITC,ITC,ITC,JINDALSTEL,JINDALSTEL,IDFC,IDFC,IDFC,IDEA,HINDUNILVR,ITC,ICICIBANK,ITC,ICICIBANK,ITC,JINDALSTEL,ITC,IDFC,IDFC,IDFC,ITC,HINDUNILVR,ITC,ICICIBANK,ITC,ICICIBANK,JINDALSTEL,JINDALSTEL,ITC,IDFC,IDFC,IDFC,ITC,HINDUNILVR,ITC,ICICIBANK,ITC,ICICIBANK,JINDALSTEL,JINDALSTEL,ITC,IDFC,IDFC,IDFC,ITC,ITC,ITC,ICICIBANK,ITC,ICICIBANK,JINDALSTEL,JINDALSTEL,IDFC,IDFC,IDEA,HINDUNILVR,ITC,INDUSINDBK,ITC,ICICIBANK,ITC,JINDALSTEL,JINDALSTEL,IDFC,IDFC,IDFC,IDEA,HINDUNILVR,ITC,ICICIBANK,ITC,ITC,ITC,JINDALSTEL,JPASSOCIAT,IDFC,ICICIBANK,IDFC,IDFC,ITC,HDFC,ITC,ICICIBANK,ITC,ITC,JINDALSTEL,JINDALSTEL,IDFC,ICICIBANK,IDFC,IDEA,HINDUNILVR,ITC,ITC,ITC,ITC,ITC,JINDALSTEL,ITC,ICICIBANK,IDFC,IDFC,ITC,HINDUNILVR,ITC,ICICIBANK,ITC,ICICIBANK,ITC,JINDALSTEL,IDFC,IDFC,IDFC,IDFC,ITC,HINDUNILVR,ITC,ICICIBANK,ITC,ICICIBANK,ITC,JINDALSTEL,IDFC,IDFC,IDFC,ICICIBANK,HINDUNILVR,ITC,ICICIBANK,ITC,ICICIBANK,ITC
KOTAKBANK,JINDALSTEL,INFY,INDUSINDBK,INDUSINDBK,TATASTEEL,HDFC,ITC,IBULHSGFIN,IBULHSGFIN,IOC,IOC,KOTAKBANK,JPASSOCIAT,INFY,INDUSINDBK,INDUSINDBK,INDUSINDBK,HDFC,ICICIBANK,IBULHSGFIN,IBULHSGFIN,ITC,IOC,KOTAKBANK,JINDALSTEL,INFY,INDUSINDBK,INDUSINDBK,ICICIBANK,HDFC,ICICIBANK,IBULHSGFIN,IOC,ITC,JPASSOCIAT,KOTAKBANK,JINDALSTEL,INFY,INDUSINDBK,INDUSINDBK,ICICIBANK,HDFC,ICICIBANK,IBULHSGFIN,IOC,ITC,JPASSOCIAT,KOTAKBANK,JINDALSTEL,INFY,INDUSINDBK,INDUSINDBK,ICICIBANK,ICICIBANK,ICICIBANK,IBULHSGFIN,IOC,ITC,KOTAKBANK,JPASSOCIAT,INFY,INDUSINDBK,INDUSINDBK,HDFC,ICICIBANK,INFRATEL,IBULHSGFIN,ITC,IOC,KOTAKBANK,JPASSOCIAT,INFY,INDUSINDBK,INDUSINDBK,INDUSINDBK,HDFC,ICICIBANK,IBULHSGFIN,IBULHSGFIN,IOC,IOC,JPASSOCIAT,JINDALSTEL,JPASSOCIAT,IDFC,INDUSINDBK,INDUSINDBK,ICICIBANK,ITC,ICICIBANK,IBULHSGFIN,IOC,IOC,KOTAKBANK,JPASSOCIAT,INFY,IDFC,INDUSINDBK,INDUSINDBK,HDFC,ICICIBANK,ICICIBANK,IBULHSGFIN,IOC,IOC,KOTAKBANK,JINDALSTEL,IDFC,INDUSINDBK,INDUSINDBK,ICICIBANK,HDFC,ICICIBANK,IBULHSGFIN,IOC,ITC,IOC,KOTAKBANK,JPASSOCIAT,INFY,INDUSINDBK,INDUSINDBK,ICICIBANK,HDFC,ICICIBANK,IBULHSGFIN,IOC,ITC,IOC,JPASSOCIAT,INFY,INDUSINDBK,INDUSINDBK,IDEA,HDFC,ICICIBANK,IBULHSGFIN,IOC,ITC,IOC
LT,KOTAKBANK,ITC,INFY,INFY,TATAPOWER,ITC,ICICIBANK,IOC,IOC,INDUSINDBK,INDUSINDBK,LT,KOTAKBANK,ITC,INFY,INFY,INFY,ITC,IBULHSGFIN,IOC,IOC,IOC,INDUSINDBK,LT,JPASSOCIAT,ITC,INFY,INFY,IDEA,ITC,IBULHSGFIN,IOC,INDUSINDBK,IOC,LT,LT,JPASSOCIAT,ITC,INFY,INFY,IDEA,ITC,IBULHSGFIN,IOC,INDUSINDBK,IOC,LT,LT,JPASSOCIAT,ITC,INFY,INFY,IDEA,IBULHSGFIN,IBULHSGFIN,IOC,INDUSINDBK,IOC,LT,KOTAKBANK,ITC,INFY,INFY,ITC,IBULHSGFIN,INFY,IOC,IOC,INDUSINDBK,LT,KOTAKBANK,ITC,INFY,INFY,INFY,ITC,IBULHSGFIN,IOC,IOC,INDUSINDBK,INDUSINDBK,LT,KOTAKBANK,JINDALSTEL,INFY,INFY,INFY,IDEA,ICICIBANK,IBULHSGFIN,IOC,INDUSINDBK,INDUSINDBK,LT,KOTAKBANK,ITC,INDUSINDBK,INFY,INFY,ITC,IBULHSGFIN,IBULHSGFIN,IOC,INDUSINDBK,INDUSINDBK,LT,JPASSOCIAT,INFY,INFY,INFY,IDEA,ITC,IBULHSGFIN,IOC,INDUSINDBK,IOC,INDUSINDBK,LT,JINDALSTEL,ITC,INFY,INFY,IDEA,ITC,IBULHSGFIN,IOC,INDUSINDBK,IOC,INDUSINDBK,KOTAKBANK,ITC,INFY,INFY,INDUSINDBK,ITC,IBULHSGFIN,IOC,INDUSINDBK,IOC,INDUSINDBK
M&M,LT,JINDALSTEL,ITC,ITC,WIPRO,ICICIBANK,IBULHSGFIN,INDUSINDBK,INDUSINDBK,INFY,INFY,M&M,LT,JINDALSTEL,ITC,ITC,ITC,ICICIBANK,IOC,INDUSINDBK,INDUSINDBK,INDUSINDBK,INFY,M&M,KOTAKBANK,JINDALSTEL,ITC,ITC,INDUSINDBK,ICICIBANK,IOC,INDUSINDBK,INFY,INDUSINDBK,M&M,M&M,KOTAKBANK,JINDALSTEL,ITC,ITC,INDUSINDBK,ICICIBANK,IOC,INDUSINDBK,INFY,INDUSINDBK,M&M,M&M,KOTAKBANK,JINDALSTEL,ITC,ITC,INDUSINDBK,IOC,IOC,INDUSINDBK,INFY,INDUSINDBK,M&M,LT,JINDALSTEL,ITC,ITC,ICICIBANK,IOC,IOC,INDUSINDBK,INDUSINDBK,INFY,M&M,LT,JINDALSTEL,ITC,ITC,ITC,ICICIBANK,IOC,INDUSINDBK,INDUSINDBK,INFY,INFY,M&M,LT,KOTAKBANK,JPASSOCIAT,ITC,ITC,INDUSINDBK,IBULHSGFIN,IOC,INDUSINDBK,INFY,INFY,M&M,LT,JINDALSTEL,INFY,ITC,ITC,ICICIBANK,IOC,IOC,INDUSINDBK,INFY,INFY,M&M,KOTAKBANK,JPASSOCIAT,ITC,ITC,INDUSINDBK,ICICIBANK,IOC,INDUSINDBK,INFY,INDUSINDBK,INFY,M&M,KOTAKBANK,JINDALSTEL,ITC,ITC,INDUSINDBK,ICICIBANK,IOC,INDUSINDBK,INFY,INDUSINDBK,INFY,LT,JINDALSTEL,ITC,ITC,INFY,ICICIBANK,IOC,INDUSINDBK,INFY,INDUSINDBK,INFY
MARUTI,M&M,JPASSOCIAT,JINDALSTEL,JINDALSTEL,ZEEL,IDEA,IOC,INFY,INFY,JSWSTEEL,JSWSTEEL,MARUTI,M&M,JPASSOCIAT,JINDALSTEL,JINDALSTEL,KOTAKBANK,IDEA,INDUSINDBK,INFY,INFY,INFY,JSWSTEEL,MARUTI,LT,JPASSOCIAT,JINDALSTEL,JINDALSTEL,INFY,IDEA,INDUSINDBK,INFY,JSWSTEEL,INFY,MARUTI,MARUTI,LT,JPASSOCIAT,JINDALSTEL,JINDALSTEL,INFY,IDEA,INDUSINDBK,INFY,JSWSTEEL,INFY,MARUTI,MARUTI,LT,JPASSOCIAT,JINDALSTEL,JINDALSTEL,INFY,INDUSINDBK,INDUSINDBK,INFY,JSWSTEEL,INFY,MARUTI,M&M,JPASSOCIAT,JINDALSTEL,KOTAKBANK,IDEA,INDUSINDBK,ITC,INFY,INFY,JSWSTEEL,MARUTI,M&M,JPASSOCIAT,JINDALSTEL,JINDALSTEL,KOTAKBANK,IDEA,INDUSINDBK,INFY,INFY,JSWSTEEL,JSWSTEEL,MARUTI,M&M,LT,JINDALSTEL,JINDALSTEL,KOTAKBANK,INFY,IOC,INDUSINDBK,INFY,JSWSTEEL,JSWSTEEL,MARUTI,M&M,JPASSOCIAT,JPASSOCIAT,JINDALSTEL,KOTAKBANK,IDEA,INDUSINDBK,INDUSINDBK,INFY,JSWSTEEL,JSWSTEEL,MARUTI,LT,JINDALSTEL,JINDALSTEL,JINDALSTEL,INFY,IDEA,INDUSINDBK,INFY,JSWSTEEL,INFY,JSWSTEEL,MARUTI,LT,JPASSOCIAT,JINDALSTEL,JINDALSTEL,INFY,IDEA,INDUSINDBK,INFY,JSWSTEEL,INFY,JSWSTEEL,M&M,JPASSOCIAT,JINDALSTEL,JINDALSTEL,ITC,IDEA,INDUSINDBK,INFY,JSWSTEEL,INFY,JSWSTEEL
NTPC,MARUTI,KOTAKBANK,JPASSOCIAT,KOTAKBANK,ICICIBANK,INDUSINDBK,INDUSINDBK,KOTAKBANK,JSWSTEEL,KOTAKBANK,KOTAKBANK,NTPC,MARUTI,KOTAKBANK,JPASSOCIAT,KOTAKBANK,LT,INDUSINDBK,INFY,KOTAKBANK,JSWSTEEL,JSWSTEEL,KOTAKBANK,NTPC,M&M,KOTAKBANK,JPASSOCIAT,KOTAKBANK,KOTAKBANK,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,JSWSTEEL,NTPC,NTPC,M&M,KOTAKBANK,JPASSOCIAT,KOTAKBANK,KOTAKBANK,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,JSWSTEEL,NTPC,NTPC,M&M,KOTAKBANK,JPASSOCIAT,KOTAKBANK,KOTAKBANK,INFY,INFY,JSWSTEEL,KOTAKBANK,JSWSTEEL,NTPC,MARUTI,KOTAKBANK,JPASSOCIAT,LT,INDUSINDBK,INFY,KOTAKBANK,JSWSTEEL,JSWSTEEL,KOTAKBANK,NTPC,MARUTI,KOTAKBANK,JPASSOCIAT,KOTAKBANK,LT,INDUSINDBK,INFY,KOTAKBANK,JSWSTEEL,KOTAKBANK,KOTAKBANK,NTPC,MARUTI,M&M,KOTAKBANK,KOTAKBANK,LT,KOTAKBANK,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,KOTAKBANK,NTPC,MARUTI,KOTAKBANK,JINDALSTEL,KOTAKBANK,LT,INDUSINDBK,INFY,INFY,JSWSTEEL,KOTAKBANK,KOTAKBANK,NTPC,M&M,KOTAKBANK,JPASSOCIAT,KOTAKBANK,KOTAKBANK,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,JSWSTEEL,KOTAKBANK,NTPC,M&M,KOTAKBANK,JPASSOCIAT,KOTAKBANK,KOTAKBANK,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,JSWSTEEL,KOTAKBANK,MARUTI,KOTAKBANK,JPASSOCIAT,JPASSOCIAT,KOTAKBANK,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,JSWSTEEL,KOTAKBANK
ONGC,NTPC,LT,KOTAKBANK,LT,INDUSINDBK,INFY,INFY,LT,KOTAKBANK,LT,LT,ONGC,NTPC,LT,KOTAKBANK,LT,LUPIN,INFY,KOTAKBANK,LT,KOTAKBANK,KOTAKBANK,LT,ONGC,MARUTI,LT,KOTAKBANK,LT,LT,INFY,KOTAKBANK,KOTAKBANK,LT,KOTAKBANK,ONGC,ONGC,MARUTI,LT,KOTAKBANK,LT,LT,INFY,KOTAKBANK,KOTAKBANK,LT,KOTAKBANK,ONGC,ONGC,MARUTI,LT,KOTAKBANK,LT,LT,KOTAKBANK,KOTAKBANK,KOTAKBANK,LT,KOTAKBANK,ONGC,NTPC,LT,KOTAKBANK,LUPIN,INFY,KOTAKBANK,LT,KOTAKBANK,KOTAKBANK,LT,ONGC,NTPC,LT,KOTAKBANK,LT,LUPIN,INFY,KOTAKBANK,LT,KOTAKBANK,LT,LT,ONGC,NTPC,MARUTI,LT,LT,LUPIN,LT,INFY,KOTAKBANK,KOTAKBANK,LT,LT,ONGC,NTPC,LT,KOTAKBANK,LT,LUPIN,INFY,KOTAKBANK,KOTAKBANK,KOTAKBANK,LT,LT,ONGC,MARUTI,LT,KOTAKBANK,LT,LT,INFY,KOTAKBANK,KOTAKBANK,LT,KOTAKBANK,LT,ONGC,MARUTI,LT,KOTAKBANK,LT,LT,INFY,KOTAKBANK,KOTAKBANK,LT,KOTAKBANK,LT,NTPC,LT,KOTAKBANK,KOTAKBANK,LT,INFY,KOTAKBANK,KOTAKBANK,LT,KOTAKBANK,LT
POWERGRID,ONGC,M&M,LT,LUPIN,BANKBARODA,KOTAKBANK,KOTAKBANK,LUPIN,LT,M&M,M&M,POWERGRID,ONGC,M&M,LT,LUPIN,M&M,KOTAKBANK,LT,LUPIN,LT,LT,M&M,POWERGRID,NTPC,LUPIN,LT,LUPIN,LUPIN,KOTAKBANK,LT,LT,M&M,LT,PNB,POWERGRID,NTPC,LUPIN,LT,LUPIN,LUPIN,KOTAKBANK,LT,LT,M&M,LT,PNB,POWERGRID,NTPC,LUPIN,LT,LUPIN,LUPIN,LT,LT,LT,M&M,LT,POWERGRID,ONGC,M&M,LT,M&M,KOTAKBANK,LT,LUPIN,LT,LT,M&M,POWERGRID,ONGC,M&M,LT,LUPIN,M&M,KOTAKBANK,LT,LUPIN,LT,M&M,M&M,PNB,ONGC,NTPC,LUPIN,LUPIN,M&M,LUPIN,KOTAKBANK,LT,LT,M&M,M&M,POWERGRID,ONGC,M&M,LT,LUPIN,M&M,KOTAKBANK,LT,LT,LT,M&M,M&M,POWERGRID,NTPC,LUPIN,LT,LUPIN,LUPIN,KOTAKBANK,LT,LT,M&M,LT,M&M,POWERGRID,NTPC,LUPIN,LT,LUPIN,LUPIN,KOTAKBANK,LT,LT,M&M,LT,M&M,ONGC,LUPIN,LT,LT,LUPIN,KOTAKBANK,LT,LT,M&M,LT,M&M
PNB,POWERGRID,MARUTI,LUPIN,M&M,GAIL,LT,LT,M&M,M&M,MARUTI,MARUTI,PNB,PNB,MARUTI,LUPIN,M&M,MARUTI,LT,LUPIN,M&M,M&M,M&M,MARUTI,PNB,ONGC,M&M,LUPIN,M&M,M&M,LT,LUPIN,M&M,MARUTI,M&M,POWERGRID,PNB,ONGC,M&M,LUPIN,M&M,M&M,LT,LUPIN,M&M,MARUTI,M&M,POWERGRID,PNB,ONGC,M&M,LUPIN,M&M,M&M,LUPIN,LUPIN,M&M,MARUTI,M&M,PNB,PNB,MARUTI,LUPIN,MARUTI,LT,LUPIN,M&M,M&M,M&M,MARUTI,PNB,PNB,MARUTI,LUPIN,M&M,MARUTI,LT,LUPIN,M&M,M&M,MARUTI,MARUTI,POWERGRID,POWERGRID,ONGC,M&M,M&M,MARUTI,M&M,LT,LUPIN,M&M,MARUTI,MARUTI,PNB,PNB,MARUTI,LUPIN,M&M,MARUTI,LT,LUPIN,LUPIN,M&M,MARUTI,MARUTI,PNB,ONGC,M&M,LUPIN,M&M,M&M,LT,LUPIN,M&M,MARUTI,M&M,MARUTI,PNB,ONGC,M&M,LUPIN,M&M,M&M,LT,LUPIN,M&M,MARUTI,M&M,MARUTI,PNB,M&M,LUPIN,LUPIN,M&M,LT,LUPIN,M&M,MARUTI,M&M,MARUTI
RANBAXY,PNB,NTPC,M&M,MARUTI,AXISBANK,LUPIN,LUPIN,MARUTI,MARUTI,NTPC,NTPC,RANBAXY,POWERGRID,NTPC,M&M,MARUTI,NMDC,LUPIN,M&M,MARUTI,MARUTI,MARUTI,NTPC,RANBAXY,PNB,MARUTI,M&M,MARUTI,MARUTI,LUPIN,M&M,MARUTI,NTPC,MARUTI,RANBAXY,RANBAXY,PNB,MARUTI,M&M,MARUTI,MARUTI,LUPIN,M&M,MARUTI,NTPC,MARUTI,RANBAXY,RANBAXY,PNB,MARUTI,M&M,MARUTI,MARUTI,M&M,M&M,MARUTI,NTPC,MARUTI,RANBAXY,POWERGRID,NTPC,M&M,NMDC,LUPIN,M&M,MARUTI,MARUTI,MARUTI,NTPC,RANBAXY,POWERGRID,NTPC,M&M,MARUTI,NMDC,LUPIN,M&M,MARUTI,MARUTI,NTPC,NTPC,RANBAXY,PNB,POWERGRID,MARUTI,MARUTI,NMDC,MARUTI,LUPIN,M&M,MARUTI,NTPC,NTPC,RANBAXY,POWERGRID,NTPC,M&M,MARUTI,NMDC,LUPIN,M&M,M&M,MARUTI,NTPC,NTPC,RANBAXY,PNB,MARUTI,M&M,MARUTI,MARUTI,LUPIN,M&M,MARUTI,NTPC,MARUTI,NTPC,RANBAXY,POWERGRID,MARUTI,M&M,MARUTI,MARUTI,LUPIN,M&M,MARUTI,NTPC,MARUTI,NTPC,POWERGRID,MARUTI,M&M,M&M,MARUTI,LUPIN,M&M,MARUTI,NTPC,MARUTI,NTPC
RELCAPITAL,RANBAXY,ONGC,MARUTI,MCDOWELL-N,HCLTECH,M&M,M&M,NTPC,NTPC,NESTLEIND,NESTLEIND,RELCAPITAL,RANBAXY,ONGC,MARUTI,MCDOWELL-N,NTPC,M&M,MARUTI,NTPC,NTPC,NTPC,NESTLEIND,RELCAPITAL,POWERGRID,NTPC,MARUTI,NMDC,NTPC,M&M,MARUTI,NTPC,NESTLEIND,NTPC,RCOM,RELCAPITAL,POWERGRID,NTPC,MARUTI,NMDC,NTPC,M&M,MARUTI,NTPC,NESTLEIND,NTPC,RCOM,RELCAPITAL,POWERGRID,NTPC,MARUTI,NMDC,NTPC,MARUTI,MARUTI,NTPC,NESTLEIND,NTPC,RELCAPITAL,RANBAXY,ONGC,MARUTI,NTPC,M&M,MARUTI,NTPC,NTPC,NTPC,NESTLEIND,RELCAPITAL,RANBAXY,ONGC,MARUTI,MCDOWELL-N,NTPC,M&M,MARUTI,NTPC,NTPC,NESTLEIND,NESTLEIND,RCOM,RANBAXY,PNB,NTPC,MCDOWELL-N,NTPC,NTPC,M&M,MARUTI,NTPC,NESTLEIND,NESTLEIND,RELCAPITAL,RANBAXY,ONGC,MARUTI,MCDOWELL-N,NTPC,M&M,MARUTI,MARUTI,NTPC,NESTLEIND,NESTLEIND,RELCAPITAL,POWERGRID,NTPC,MARUTI,NMDC,NTPC,M&M,MARUTI,NTPC,NESTLEIND,NTPC,NESTLEIND,RELCAPITAL,PNB,NTPC,MARUTI,NMDC,NTPC,M&M,MARUTI,NTPC,NESTLEIND,NTPC,NESTLEIND,RANBAXY,NTPC,MARUTI,MARUTI,NTPC,M&M,MARUTI,NTPC,NESTLEIND,NTPC,NESTLEIND
RCOM,RELCAPITAL,PNB,NMDC,NMDC,LUPIN,MARUTI,MARUTI,ONGC,ONGC,ONGC,ONGC,RCOM,RCOM,PNB,NMDC,NMDC,ONGC,MARUTI,NTPC,ONGC,ONGC,NESTLEIND,ONGC,RCOM,RANBAXY,ONGC,NMDC,NTPC,ONGC,MARUTI,NTPC,ONGC,ONGC,NESTLEIND,RELCAPITAL,RCOM,RANBAXY,ONGC,NMDC,NTPC,ONGC,MARUTI,NTPC,ONGC,ONGC,NESTLEIND,RELCAPITAL,RCOM,RANBAXY,ONGC,NMDC,NTPC,ONGC,NTPC,NTPC,ONGC,ONGC,NESTLEIND,RCOM,RCOM,PNB,NMDC,ONGC,MARUTI,NTPC,ONGC,ONGC,NESTLEIND,ONGC,RCOM,RCOM,PNB,NMDC,NMDC,ONGC,MARUTI,NTPC,ONGC,ONGC,ONGC,ONGC,RELCAPITAL,RELCAPITAL,RANBAXY,ONGC,NMDC,ONGC,ONGC,MARUTI,NTPC,ONGC,ONGC,ONGC,RCOM,RCOM,PNB,NMDC,NMDC,ONGC,MARUTI,NTPC,NTPC,ONGC,ONGC,ONGC,RCOM,RANBAXY,ONGC,NMDC,NTPC,ONGC,MARUTI,NTPC,ONGC,ONGC,NESTLEIND,ONGC,RCOM,RANBAXY,ONGC,NMDC,NTPC,ONGC,MARUTI,NTPC,ONGC,ONGC,NESTLEIND,ONGC,RCOM,ONGC,NMDC,NMDC,ONGC,MARUTI,NTPC,ONGC,ONGC,NESTLEIND,ONGC
RELIANCE,RCOM,POWERGRID,NTPC,NTPC,BHARTIARTL,NTPC,NTPC,POWERGRID,POWERGRID,POWERGRID,POWERGRID,RELIANCE,RELCAPITAL,POWERGRID,NTPC,NTPC,PNB,NTPC,ONGC,POWERGRID,POWERGRID,ONGC,POWERGRID,RELIANCE,RCOM,PNB,NTPC,ONGC,POWERGRID,NTPC,ONGC,POWERGRID,POWERGRID,ONGC,RELIANCE,RELIANCE,RCOM,PNB,NTPC,ONGC,POWERGRID,NTPC,ONGC,POWERGRID,POWERGRID,ONGC,RELIANCE,RELIANCE,RCOM,PNB,NTPC,ONGC,POWERGRID,ONGC,ONGC,POWERGRID,POWERGRID,ONGC,RELIANCE,RELCAPITAL,POWERGRID,NTPC,PNB,NTPC,ONGC,POWERGRID,POWERGRID,ONGC,POWERGRID,RELIANCE,RELCAPITAL,POWERGRID,NTPC,NTPC,PNB,NTPC,ONGC,POWERGRID,POWERGRID,POWERGRID,POWERGRID,RELIANCE,RCOM,RCOM,POWERGRID,NTPC,PNB,POWERGRID,NTPC,ONGC,POWERGRID,POWERGRID,POWERGRID,RELIANCE,RELCAPITAL,POWERGRID,NTPC,NTPC,PNB,NTPC,ONGC,ONGC,POWERGRID,POWERGRID,POWERGRID,RELIANCE,RCOM,POWERGRID,NTPC,ONGC,POWERGRID,NTPC,ONGC,POWERGRID,POWERGRID,ONGC,POWERGRID,RELIANCE,RCOM,PNB,NTPC,ONGC,POWERGRID,NTPC,ONGC,POWERGRID,POWERGRID,ONGC,POWERGRID,RELCAPITAL,PNB,NTPC,NTPC,PNB,NTPC,ONGC,POWERGRID,POWERGRID,ONGC,POWERGRID
